lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
19350,3835,31oct2018,3523,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,61080.082,11.019941,.020790042,.032819904,.22591108,.60871792,.018061409,.16587803,63,1,9,0,16537.186,16.621122
91926,3851,31dec2018,4512,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,49479.598,10.809316,0,.067120768,.25715312,.16576597,.018124999,.052099578,59,0,2,0,13135.583,16.390835
61743,3863,31dec2018,2780,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,2050.812,7.6259909,0,.10419784,.22675079,.32112065,.015616866,.027558783,55,0,12,0,5816.9619,15.576288
11674,3897,31dec2018,4931,Utilities,2018,31351.377,10.353013,0,.033583082,.11921783,.38247401,.030673305,.0026426748,58,1,8,0,10361.436,16.153601
76708,3905,30jun2018,8200,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,2148.4937,7.6725221,0,.052844059,.073265515,.054018199,.0047430829,.12390392,48,0,2,1,10628.364,16.179037
29867,3937,31mar2019,5190,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,1825.9423,7.5098515,0,.026662856,.19287443,.68522459,0,.15635881,54,0,5,0,1158.3151,13.962477
40440,3946,31dec2018,3578,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,4874.6113,8.4917955,.029617919,-.044398308,-.49595743,.35309133,.024464833,.13307148,56,0,5,0,6255.9819,15.649049
79322,3962,31dec2018,3679,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,48.358944,3.8786511,0,-.046961699,-.1249553,.29520977,0,.01518341,,,,,,
49429,3964,31jan2019,5311,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,3410.3979,8.1345844,0,.060254239,.12956904,.19883186,.0050325636,.053649005,72,1,20,0,2057.511,14.537007
44943,3969,31dec2018,3674,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,1382.1764,7.2314148,.052313033,-.0012124892,-.0021707653,.18148848,0,.1627578,70,0,13,0,5571.4722,15.53317
26403,3980,30sep2018,4888,Telephone and Television Transmission,2018,88936.453,11.395678,0,.093747713,.21735448,.26550022,.015826317,.044067316,66,1,13,0,19966.961,16.809589
10886,4001,31dec2018,2273,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,262.60434,5.5706487,0,-.032958794,-.11760847,.47248247,0,.000067180779,75,1,38,0,989.55273,13.805008
93096,4016,31jan2019,5331,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,11621.477,9.36061,0,.12295046,.25122702,.24015175,.010085338,.021832863,55,0,3,0,9613.1553,16.078644
64936,4029,31dec2018,4911,Utilities,2018,71106.266,11.17193,0,.039159104,.17495042,.48735392,.037441403,.0015693455,63,1,12,0,13560.799,16.422693
61313,4036,31jul2018,3714,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2018,1838.0763,7.5164747,.027630448,.11759357,.27385014,.30873364,.014739946,.18452701,58,0,3,0,5375.8154,15.497421
38682,4040,31dec2018,2750,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,3625.1799,8.1956596,0,-.0088103469,.15808824,.54032522,.060215052,.083650187,53,0,2,0,5279.5264,15.479347
